MONUMENT_ID,Name,Item Category,URI,Citation_URI,Thumbnail,Longitude,Latitude,City _ID,Excavation_ID
164,Sabil-kuttab of Khalil Efendi al-Muqati’ji,Image media,http://opencontext.org/media/e5da411b-a795-4044-bcdf-b7f6ab58a2b0,https://n2t.net/ark:/28722/k2rj4vg9f,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.061.jpg,31.26177,30.04443,2,2
165,Sabil-kuttab of Yusuf Agha Dar al-Sa’ada,Image media,http://opencontext.org/media/7f0940eb-d639-4507-8777-ba65639035cb,https://n2t.net/ark:/28722/k2x92m61g,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.070.jpg,31.25965,30.04074,2,2
166,Zawiyya of Faraj ibn Barquq,Image media,http://opencontext.org/media/b58bbc50-40c0-4273-ac9c-b4562c287fd1,https://n2t.net/ark:/28722/k2ms44p5p,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.060.jpg,31.25765,30.04257,2,2
167,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/1f68adf7-8112-4b72-b01c-13f7b6547c11,https://n2t.net/ark:/28722/k26d67z9p,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.018.jpg,31.2565,30.04307,2,2
168,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/e1763398-d820-4219-b753-65acb2bc645e,https://n2t.net/ark:/28722/k2pg2392n,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.014.jpg,31.2565,30.04307,2,2
169,Sabil-kuttab of Yusuf Agha Dar al-Sa’ada,Image media,http://opencontext.org/media/f4771bae-9c8f-4607-8dc0-16e4cbbd2990,https://n2t.net/ark:/28722/k2sj1wc7q,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.069.jpg,31.25965,30.04074,2,2
170,Mosque of Muhammad Bey Abu al-Dhahab,Image media,http://opencontext.org/media/a4ea2174-2f0b-4855-9c50-3a13d08be2d2,https://n2t.net/ark:/28722/k22b9f05w,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.133.jpg,31.26184,30.04599,2,2
171,Fakahani Mosque,Image media,http://opencontext.org/media/7573bf6d-23fc-408d-86d7-1fd8cd159d99,https://n2t.net/ark:/28722/k2805h68r,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.150.jpg,31.25909,30.04432,2,2
172,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/f030b145-6598-470a-94df-e97d84aaf503,https://n2t.net/ark:/28722/k28p6dx7q,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.096.jpg,31.2565,30.04307,2,2
173,Fakahani Mosque,Image media,http://opencontext.org/media/962a1aec-6875-4ba1-94cb-779a7ae48be5,https://n2t.net/ark:/28722/k20s05r7v,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.001.jpg,31.25909,30.04432,2,2
174,Fakahani Mosque,Image media,http://opencontext.org/media/960a5fa2-9be4-44f5-b677-34195649b352,https://n2t.net/ark:/28722/k2gh9wx69,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.144.jpg,31.25909,30.04432,2,2
